date,spy,qqq,dbc,agg,gld,cash
2007-10-10,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-11,0.37498638,0.12500113,0.12500113,0.12500641,0.12500113,0.12500377
2007-10-12,0.37477934,0.1250185,0.1250185,0.12510386,0.12501852,0.12506121
2007-10-15,0.0909182,0.0909182,0.0909182,0.09092764,0.5453963,0.09092141
2007-10-16,0.37491938,0.12500677,0.12500677,0.12503792,0.12500678,0.12502235
2007-10-17,0.37499183,0.12500069,0.12500069,0.12500383,0.12500069,0.12500228
2007-10-18,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-19,0.37499955,0.12500003,0.12500003,0.1250002,0.12500003,0.1250001
2007-10-22,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-10-23,0.37499934,0.12500006,0.12500006,0.12500031,0.12500006,0.12500018
2007-10-24,0.16666652,0.16666652,0.16666652,0.16666716,0.16666652,0.16666675
2007-10-25,0.37499976,0.12500001,0.12500001,0.1250001,0.12500001,0.12500006
2007-10-26,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-29,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-30,0.37499875,0.1250001,0.1250001,0.12500063,0.1250001,0.12500037
2007-10-31,0.11111114,0.4444442,0.11111114,0.11111121,0.11111114,0.11111117
2007-11-01,0.37499332,0.12500055,0.12500055,0.12500314,0.12500055,0.12500185
2007-11-02,0.1111112,0.4444438,0.1111112,0.11111136,0.1111112,0.11111125
2007-11-05,0.37498888,0.12500094,0.12500094,0.12500525,0.12500094,0.12500308
2007-11-06,0.37498218,0.12500149,0.12500149,0.12500837,0.12500149,0.12500493
2007-11-07,0.3749836,0.12500139,0.12500139,0.12500775,0.12500139,0.12500456
2007-11-08,0.0910817,0.0910817,0.0910817,0.09126101,0.54435116,0.09114276
2007-11-09,0.090963766,0.090963766,0.090963766,0.091020435,0.54510516,0.09098308
2007-11-12,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-11-13,0.09091237,0.09091237,0.09091237,0.09091576,0.54543364,0.09091353
2007-11-14,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-11-15,0.16666666,0.16666666,0.16666666,0.16666669,0.16666666,0.16666669
2007-11-16,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
2007-11-19,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-20,0.37500003,0.125,0.125,0.125,0.125,0.125
