date,spy,qqq,dbc,agg,gld,cash
2007-10-10,0.0909094,0.0909094,0.0909094,0.090909734,0.5454524,0.09090952
2007-10-11,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-12,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-15,0.1666545,0.1666545,0.1666545,0.16670896,0.1666545,0.16667305
2007-10-16,0.37491938,0.12500677,0.12500677,0.12503792,0.12500678,0.12502235
2007-10-17,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-18,0.3749989,0.1250001,0.1250001,0.12500054,0.1250001,0.12500033
2007-10-19,0.37499955,0.12500003,0.12500003,0.1250002,0.12500003,0.1250001
2007-10-22,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-23,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-24,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-10-25,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-26,0.37499988,0.12500001,0.12500001,0.12500004,0.12500001,0.12500001
2007-10-29,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-30,0.16666088,0.16666088,0.16666088,0.16668679,0.16666088,0.1666697
2007-10-31,0.09092114,0.09092114,0.09092114,0.090933636,0.54537755,0.09092541
2007-11-01,0.09095036,0.09095036,0.09095036,0.090993136,0.5451908,0.090964936
2007-11-02,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-05,0.16664475,0.16664475,0.16664475,0.16674279,0.16664475,0.16667815
2007-11-06,0.09113332,0.09113332,0.09113332,0.09136646,0.5440208,0.0912127
2007-11-07,0.3749836,0.12500139,0.12500139,0.12500775,0.12500139,0.12500456
2007-11-08,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-09,0.16666612,0.16666612,0.16666612,0.1666686,0.16666612,0.16666695
2007-11-12,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-13,0.37499514,0.12500042,0.12500042,0.12500232,0.12500042,0.12500136
2007-11-14,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-11-15,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-16,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
2007-11-19,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
2007-11-20,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-11-21,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
