Date,open,high,low,close,adjcp,volume,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,weekday,day,month,ret1,mov1
2006-10-17,24.74,24.74,24.18,24.38,19.9629219470268,598600,0.014766201804758,0.014766201804758,-0.0082034454470877,-0.0008196721311479,-0.0008196721311475,-0.0159967186218199,-0.020098441345364,-0.0226141646158044,-0.0283634126333049,-0.0308777686628373,-0.0263057150669936,1,17,10,0.0,0
2006-10-18,24.35,24.48,23.8,23.99,19.6435807017709,345300,0.0150062526052523,0.0204251771571488,-0.0079199666527719,-0.0159967186218178,-0.0159967186218211,0.0050854522717782,-0.0020008336807024,-0.0059191329720738,-0.0106502709462296,-0.0142892872030034,-0.011602056412396,2,18,10,-0.01599671862182117,0
2006-10-19,24.16,24.47,24.028,24.39,19.9711101840847,187300,-0.0094300943009429,0.0032800328003279,-0.0148421484214843,0.0166736140058352,0.0166736140058358,-0.0052480524805257,-0.0151291512915143,-0.0208555418887537,-0.0249897498975002,-0.0287494874948763,-0.0282356156894916,3,19,10,0.01667361400583589,1
2006-10-20,24.4,24.4,23.8,24.05,19.6927101241179,514900,0.0145530145530143,0.0145530145530143,-0.0103950103950103,-0.0139401394013969,-0.013940139401394,0.0079833679833694,0.0002910602910617,-0.0067359667359654,-0.0094386694386681,-0.0137713097713084,-0.0151212751212735,4,20,10,-0.013940139401394047,0
2006-10-23,23.81,24.15,23.65,24.1,19.7336513094072,645800,-0.0120331950207469,0.0020746887966804,-0.0186721991701246,0.0020790020790057,0.002079002079002,0.0034024896265545,-0.0034024896265579,-0.0076625172890755,-0.0097302904564338,-0.0149211618257283,-0.0169294605809149,0,23,10,0.0020790020790020236,1
2006-10-24,24.06,24.31,23.8,24.27,19.8728513393905,226500,-0.0086526576019777,0.0016481252575195,-0.0193654717758549,0.0070539419087101,0.0070539419087136,-0.0045323444581769,-0.0080346106304062,-0.0119489081170155,-0.014771322620518,-0.0200741656365869,-0.0228265348166447,1,24,10,0.007053941908713668,1
2006-10-25,24.27,24.75,24.16,24.7,20.2249455328779,200300,-0.0174089068825911,0.0020242914979757,-0.0218623481781375,0.017717346518338,0.0177173465183353,-0.0161133603238873,-0.0199595141700413,-0.0258299595141711,-0.0298987854251023,-0.0344939271255072,-0.0382051282051293,2,25,10,0.017717346518335342,1
2006-10-26,24.68,24.71,24.34,24.53,20.0857455028945,243800,0.0061149612719118,0.0073379535262942,-0.0077456176110884,-0.0068825910931188,-0.0068825910931172,-0.0081532816958822,-0.009539339584182,-0.0165511618426413,-0.0218711781492048,-0.0260741948634322,-0.0299361326267155,3,26,10,-0.006882591093117285,0
2006-10-27,24.7,24.7,24.31,24.6,20.1430631622994,380900,0.0040650406504063,0.0040650406504063,-0.011788617886179,0.0028536485935579,0.0028536485935588,-0.0065040650406491,-0.0105284552845515,-0.0168834688346873,-0.0233333333333322,-0.0265691056910559,-0.0309349593495924,4,27,10,0.002853648593558855,1
2006-10-30,24.55,24.59,24.25,24.34,19.9301689987954,393100,0.0086277732128183,0.0102711585866885,-0.0036976170912078,-0.010569105691058,-0.0105691056910569,0.0060805258833211,-0.0002054231717315,-0.0067926595453279,-0.0115653245686092,-0.014379622021362,-0.0195152013147061,0,30,10,-0.010569105691056957,0
2006-10-31,24.25,24.26,23.95,24.19,19.8073454429278,127200,0.0024803637866885,0.0028937577511367,-0.0099214551467549,-0.006162695152009,-0.006162695152013,0.0116577097974348,0.0052087639520446,0.0007165495383751,-0.0035965274907003,-0.0068788755684187,-0.0120848835607018,1,31,10,-0.006162695152013065,0
2006-11-01,24.15,24.55,24.01,24.5,20.061180791721,160400,-0.0142857142857143,0.0020408163265306,-0.0199999999999999,0.0128152128978913,0.0128152128978915,-0.0027755102040832,-0.0054285714285728,-0.0088979591836747,-0.014102040816328,-0.0181387755102055,-0.0226394557823145,2,1,11,0.01281521289789156,1
2006-11-02,24.48,24.7,24.2501,24.32,19.9137925246798,640300,0.006578947368421,0.015625,-0.0028741776315789,-0.0073469387755095,-0.0073469387755101,0.0028782894736822,0.0016447368421033,0.0003015350877173,-0.0053248355263177,-0.0101644736842126,-0.0142406798245635,3,2,11,-0.007346938775510181,0
2006-11-03,24.54,24.75,24.39,24.71,20.2331337699357,195900,-0.0068798057466613,0.0016187778227438,-0.0129502225819506,0.0160361842105229,0.0160361842105263,-0.0120598947794402,-0.01149332254148,-0.013975448536354,-0.018959935248886,-0.0245568595710229,-0.0277620396600558,4,3,11,0.016036184210526327,1
2006-11-06,24.7,25.07,24.65,25.05,20.5115338299025,282600,-0.0139720558882235,0.0007984031936127,-0.0159680638722555,0.0137596114933253,0.0137596114933224,-0.0198003992015973,-0.0211177644710593,-0.0256287425149716,-0.0311576846307402,-0.0356247504990037,-0.0385628742514988,0,6,11,0.013759611493322499,1
2006-11-07,25.09,25.09,24.82,24.99,20.4624044075554,170800,0.0040016006402561,0.0040016006402561,-0.0068027210884352,-0.0023952095808397,-0.0023952095808383,-0.0110444177671062,-0.0158863545418168,-0.0216619981325862,-0.02625050020008,-0.0306042416966789,-0.0340669601173808,1,7,11,-0.0023952095808383866,0
2006-11-08,24.9,25.09,24.76,24.96,20.4378396963819,257400,-0.0024038461538462,0.0052083333333332,-0.0080128205128204,-0.001200480192075,-0.0012004801920767,-0.0061698717948729,-0.0136618589743607,-0.0178952991453008,-0.0219150641025658,-0.0270512820512839,-0.0312232905982926,2,8,11,-0.0012004801920767472,0
2006-11-09,25.4,25.4,25.0,25.29,20.7080515192907,394000,0.0043495452748121,0.0043495452748121,-0.011466982997232,0.013221153846149,0.0132211538461537,-0.0114669829972294,-0.0235270858046632,-0.0283379464874101,-0.0314155792803453,-0.0370739422696694,-0.0420192434427284,3,9,11,0.013221153846153744,1
2006-11-10,25.08,25.11,24.62,24.76,20.274074955225,194400,0.0129240710823907,0.0141357027463651,-0.005654281098546,-0.0209568999604538,-0.0209568999604585,0.0100969305331164,-0.0019789983844931,-0.0056273559504597,-0.0094507269790006,-0.014733441033928,-0.0204227248249889,4,10,11,-0.020956899960458575,0
2006-11-13,24.65,24.68,24.5,24.58,20.1266866881837,222600,0.0028478437754271,0.0040683482506103,-0.0032546786004881,-0.007269789983849,-0.007269789983845,0.0136696501220523,0.0063059397884486,0.002956333062112,-0.0018307567127725,-0.007371847030104,-0.0120423108218048,0,13,11,-0.0072697899838450875,0
2006-11-14,24.56,24.8,24.55,24.65,20.1840043475886,189900,-0.0036511156186612,0.0060851926977687,-0.0040567951318457,0.0028478437754264,0.0028478437754271,0.0080324543610568,0.0053144016227208,0.0011359026369193,-0.0041176470588208,-0.0086490872210928,-0.0130223123732229,1,14,11,0.002847843775427128,1
