Date,open,high,low,close,adjcp,volume,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,weekday,day,month,ret1,mov1
2006-10-17,59.0,59.1,58.12,58.65,58.65,2657100,0.0059676044330776,0.0076726342710997,-0.0090366581415175,-0.0087882372824066,-0.0087882372824066,-0.0084910485933503,-0.0191986359761295,-0.0104347826086955,-0.0097868712702472,-0.011164535379369,-0.004580846831486,1,17,10,0.0,0
2006-10-18,58.82,59.03,58.26,58.59,58.59,3679100,0.0039255845707457,0.0075098139614269,-0.0056323604710701,-0.0010230179028132,-0.0010230179028132,-0.0016385048643112,-0.0144051885987369,-0.0108095807020538,-0.0076378221539512,-0.0101723843659328,-0.0059907834101382,2,18,10,-0.001023017902813228,0
2006-10-19,59.05,59.65,59.02,59.41,59.41,2954200,-0.0060595859282949,0.0040397239521965,-0.0065645514223193,0.013995562382659,0.013995562382659,-0.008954721427369,-0.0238175391348256,-0.0248891881277001,-0.020106042753745,-0.022339673455647,-0.020742860348987,3,19,10,0.013995562382659088,1
2006-10-20,59.45,59.48,58.65,58.78,58.78,3191600,0.011398434841783,0.0119088125212656,-0.0022116366110922,-0.010604275374516,-0.010604275374516,0.0023817625042532,-0.0103096291255528,-0.0152205965747987,-0.0093654304185097,-0.0109220823409321,-0.0113020301689916,4,20,10,-0.010604275374516026,0
2006-10-23,57.88,58.19,57.52,57.76,57.76,3524300,0.0020775623268698,0.00744459833795,-0.0041551246537395,-0.0173528411024158,-0.0173528411024158,0.0152008310249307,0.0081371191135735,0.0005655586334256,0.0074878808864267,0.006218836565097,0.0057306094182825,0,23,10,-0.01735284110241586,0
2006-10-24,57.2,58.26,56.87,58.17,58.17,3558200,-0.0166752621626267,0.0015471892728209,-0.0223482894963039,0.0070983379501385,0.0070983379501385,0.0063950489943271,0.0030428055698814,-0.0052719041888718,-0.0001031459515212,-1.3752793536103702e-05,-0.0014383129906595,1,24,10,0.007098337950138589,1
2006-10-25,57.83,58.78,57.55,58.76,58.76,4384600,-0.0158270932607216,0.0003403675970048,-0.0205922396187883,0.0101426852329378,0.0101426852329378,-0.0031313818924437,-0.0038291354663037,-0.0125482187429091,-0.0110364193328794,-0.0090333560245065,-0.0113852961198093,2,25,10,0.01014268523293782,1
2006-10-26,59.03,59.45,58.98,59.29,59.29,5241100,-0.0043852251644459,0.0026986001011974,-0.0052285376960702,0.0090197413206263,0.0090197413206263,-0.0124472929667734,-0.0096980941136783,-0.0187102940349693,-0.0202985326361949,-0.0169876876370381,-0.0190419969640747,3,26,10,0.009019741320626329,1
2006-10-27,59.43,59.57,59.04,59.4,59.4,3095200,0.0005050505050505,0.0028619528619528,-0.0060606060606061,0.0018552875695732,0.0018552875695732,-0.012188552188552,-0.0101346801346801,-0.0178226711560045,-0.0221717171717172,-0.0182020202020201,-0.0197362514029181,4,27,10,0.0018552875695732052,1
2006-10-30,60.05,60.65,59.88,59.9,59.9,4675700,0.0025041736227044,0.0125208681135224,-0.0003338898163605,0.0084175084175084,0.0084175084175084,-0.0132888146911519,-0.0171786310517528,-0.0230161380077906,-0.0297078464106843,-0.0254624373956595,-0.0269894268224819,0,30,10,0.008417508417508435,1
