,date,open,high,low,close,adjcp,volume,dividend,split,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
0,2007-02-14,144.800003,145.899994,144.779999,145.610001,103.20096898314,66039400,0.0,1,spy,-0.005562790978897114,0.0019915733672715152,-0.0057001716523579216,0.0065671019890143345,0.006567101989019886,-0.007375862870843353,-0.006215226246714778,-0.011043197506737767,-0.012938671705656546,-0.01450724308421214,-0.01717372925045657
0,2007-02-14,82.05,82.43,82.05,82.38,52.6272058439684,192600,0.0,1,ief,-0.004005826656955591,0.0006069434328721535,-0.004005826656955591,0.0057502838515908206,0.005750283851591265,-0.0029885894634618104,-0.003934207331876438,-0.006289060221192577,-0.006142320140331892,-0.005710839294329029,-0.004600912247707645
0,2007-02-14,66.27,66.66,65.97,66.37,66.37,4176806,0.0,1,gld,-0.0015067048365225988,0.0043694440259152145,-0.006026819346090173,0.008049817739975706,0.008049817739975706,-0.007021244538195082,-0.016498417959921685,-0.021917533021947655,-0.027971975290040807,-0.036751544372457534,-0.043895334237356254
0,2007-02-14,44.05,44.71,44.04,44.6,38.4786990093232,133370000,0.0,1,qqq,-0.012331838565022513,0.002466367713004569,-0.012556053811659251,0.016871865025080535,0.01687186502507987,-0.011434977578476224,-0.01062780269058372,-0.01364723467862572,-0.013800448430494217,-0.009067264573991984,-0.010448430493274374
0,2007-02-14,24.38,24.46,23.95,24.07,20.2004042453494,383800,0.0,1,dbc,0.012879102617366023,0.01620274200249283,-0.004985459077690102,-0.013524590163931483,-0.013524590163934369,0.006398005816368402,0.0016165351059407307,-0.006262013571527891,-0.014293518903199631,-0.021970751973411473,-0.02375155795596251
0,2007-02-14,87.52,88.19,87.52,88.07,50.5582826910192,2262500,0.0,1,tlt,-0.006245032360622238,0.0013625525150449125,-0.006245032360622238,0.009513984410821408,0.009513984410820742,-0.004201203588055202,-0.005370727830135258,-0.00925466098936889,-0.008352547287566625,-0.006920171606541459,-0.004076739945114705
0,2007-02-14,79.93,80.05,79.93,80.04,59.6453727391654,596200,0.0,1,shy,-0.0013743128435782515,0.00012493753123421492,-0.0013743128435782515,0.0022539444027056543,0.002253944402704766,-0.0015242378810601531,-0.002036481759121078,-0.002773649961008151,-0.0031360106118666353,-0.0034131721231998036,-0.0034402857285962263
1,2007-02-15,66.24,66.53,65.71,66.41,66.41,7673400,0.0,1,gld,-0.0025598554434573817,0.0018069567836169753,-0.010540581237765467,0.0006026819346089951,0.0006026819346089951,-0.004939015208552777,-0.01529890076795648,-0.020147568137328653,-0.02543291672940806,-0.0338262309893087,-0.04239823319781155
1,2007-02-15,24.13,24.13,23.8,24.07,20.2004042453494,191400,0.0,1,dbc,0.002492729538845051,0.002492729538845051,-0.011217282924802618,0.0,0.0,0.0047361861238053304,0.0023228084752799916,-0.00410164797119561,-0.011260697964271427,-0.01966082260074853,-0.023377510040161198
1,2007-02-15,88.53,88.58,88.33,88.33,50.707540707366,893800,0.0,1,tlt,0.0022642363862788173,0.0028302954828482996,0.0,0.0029521971159298666,0.0029521971159305327,-0.006679497339522,-0.006894599796218426,-0.01088529257018378,-0.011011941870120112,-0.009969433223179447,-0.00715093452105231
1,2007-02-15,44.63,44.86,44.55,44.86,38.7030142950277,110452500,0.0,1,qqq,-0.005127061970574998,0.0,-0.0069103878733839386,0.0058295964125540944,0.005829596412556093,-0.015336602764154161,-0.014489522960320134,-0.017684648536185565,-0.018646901471242705,-0.014596522514488508,-0.014979937583592395
1,2007-02-15,82.59,82.65,82.51,82.51,52.7102543601097,317000,0.0,1,ief,0.0009695794449158246,0.0016967640286025265,0.0,0.0015780529254685316,0.0015780529254674214,-0.004123136589504917,-0.004570355108472812,-0.007030463143357868,-0.007409973457249697,-0.007174046036652393,-0.0061112669431148126
1,2007-02-15,80.1,80.11,80.06,80.08,59.6751805216437,435900,0.0,1,shy,0.00024975024975026905,0.00037462537462529255,-0.000249750249750158,0.0004997501249368597,0.0004997501249375258,-0.001698301698301652,-0.002160339660339461,-0.0029222322002686596,-0.0033966764228509083,-0.003736081961325355,-0.003796476547807237
1,2007-02-15,145.669998,145.949997,145.429993,145.800003,103.335632745067,38715200,0.0,1,spy,-0.0008916666483197444,0.0010287654109306654,-0.002537791442981052,0.001304869162120026,0.0013048691621120323,-0.00759946212072804,-0.006694107544019778,-0.010713315737497675,-0.01310700590315117,-0.014622779397339691,-0.017441712947018795
2,2007-02-16,24.08,24.5,24.01,24.49,20.5528832558623,155700,0.0,1,dbc,-0.016741527153940394,0.0004083299305839283,-0.01959983666802767,0.017449106771912692,0.017449106771915135,-0.01192323397304873,-0.013723560636992871,-0.018703960800324992,-0.025073295222537872,-0.03346819109840593,-0.03834340547161941
