,date,open,high,low,close,adjcp,volume,dividend,split,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
0,2006-10-17,136.470001,136.699997,135.669998,136.410004,95.8609957761722,90500600,0.0,1.0,spy,0.00043982844542700406,0.002125892467534918,-0.005424866053079125,-0.003142297665661875,-0.003142297665662208,-0.0011436331311888148,-0.005395534626624565,-0.010732378543145682,-0.015431451787069839,-0.019044362440027163,-0.023715146170471102
0,2006-10-17,59.0,59.1,58.12,58.65,58.65,2657100,0.0,1.0,gld,0.0059676044330776445,0.007672634271099765,-0.00903665814151755,-0.00878823728240663,-0.00878823728240663,-0.00849104859335037,-0.019198635976129586,-0.01043478260869557,-0.009786871270247244,-0.011164535379369012,-0.004580846831486074
0,2006-10-17,99.58,99.6,99.32,99.4,56.4863484940601,144600,0.0,1.0,agg,0.0018108651911468154,0.002012072434607548,-0.0008048289738431524,0.0015113350125943725,0.0015113350125945946,-0.0013682092555338254,0.001056338028168513,0.001977497095488445,0.002023099682634033,0.0006478301012169396,-0.0005762592966344071
0,2006-10-17,24.74,24.74,24.18,24.38,19.9629219470268,598600,0.0,1.0,dbc,0.014766201804758072,0.014766201804758072,-0.008203445447087732,-0.0008196721311479749,-0.0008196721311475308,-0.01599671862181995,-0.020098441345364093,-0.022614164615804455,-0.028363412633304996,-0.030877768662837313,-0.02630571506699364
0,2006-10-17,42.17,42.2,41.76,42.0,36.191160459425,146149100,0.0,1.0,qqq,0.004047619047619078,0.004761904761904745,-0.005714285714285783,-0.010600706713779773,-0.010600706713780994,0.00309523809523804,-0.004690476190477022,-0.014793650793651247,-0.020833333333333814,-0.026215728845728536,-0.03423017885471069
1,2006-10-18,99.42,99.55,99.36,99.52,56.554541268902,304700,0.0,1.0,agg,-0.001004823151125378,0.00030144694533773553,-0.001607717041800627,0.0012072434607641735,0.0012072434607643956,-0.002009646302250867,-0.0008440514469455485,0.0005844757330761841,0.0009964504427222298,-0.00035343616986260873,-0.0014935216968047227
1,2006-10-18,58.82,59.03,58.26,58.59,58.59,3679100,0.0,1.0,gld,0.003925584570745766,0.007509813961426914,-0.005632360471070186,-0.001023017902813228,-0.001023017902813228,-0.0016385048643112743,-0.014405188598736962,-0.010809580702053845,-0.007637822153951257,-0.010172384365932818,-0.005990783410138256
1,2006-10-18,137.039993,137.369995,136.100006,136.589996,95.9874836571618,86848600,0.0,1.0,spy,0.0032945092113481067,0.0057105133819608245,-0.0035873051786311505,0.0013194926671211693,0.0013194926671216134,-0.00029281793082414076,-0.0054835428796702335,-0.010644969928837122,-0.01523534966645712,-0.01888803036563169,-0.02337867286117956
1,2006-10-18,24.35,24.48,23.8,23.99,19.6435807017709,345300,0.0,1.0,dbc,0.015006252605252346,0.020425177157148866,-0.007919966652771948,-0.01599671862181784,-0.01599671862182117,0.005085452271778257,-0.002000833680702474,-0.005919132972073804,-0.010650270946229612,-0.014289287203003487,-0.011602056412396089
1,2006-10-18,42.22,42.31,41.65,41.8,36.0188216000944,120366100,0.0,1.0,qqq,0.010047846889952305,0.012200956937799212,-0.0035885167464114742,-0.004761904761904967,-0.004761904761904856,0.009138755980861335,0.0012679425837316405,-0.008357256778309896,-0.01450956937799075,-0.019773412813244295,-0.02709527799072442
2,2006-10-19,99.39,99.48,99.29,99.47,56.5261276127179,174200,0.0,1.0,agg,-0.0008042625917361601,0.00010053282396715879,-0.0018095908314064157,-0.0005024115755620784,-0.0005024115755626335,-0.0012466070171917032,-0.0007741027445468118,0.0009357256055697594,0.0014408989987890752,0.00039041534208394957,-0.0007103768272684885
2,2006-10-19,41.69,42.1101,41.59,41.9,36.1049910297597,108198400,0.0,1.0,qqq,-0.005011933174224326,0.005014319809069301,-0.007398568019092999,0.0023923444976079455,0.0023923444976077235,0.005155131264916291,-0.00016706443914138447,-0.00902147971360412,-0.014809069212411097,-0.02026720763723211,-0.02667855424236587
2,2006-10-19,24.16,24.47,24.028,24.39,19.9711101840847,187300,0.0,1.0,dbc,-0.009430094300942993,0.003280032800327959,-0.014842148421484347,0.016673614005835224,0.01667361400583589,-0.005248052480525733,-0.015129151291514376,-0.020855541888753715,-0.024989749897500246,-0.02874948749487638,-0.028235615689491622
2,2006-10-19,59.05,59.65,59.02,59.41,59.41,2954200,0.0,1.0,gld,-0.006059585928294919,0.004039723952196539,-0.006564551422319376,0.013995562382659088,0.013995562382659088,-0.008954721427369083,-0.02381753913482565,-0.024889188127700135,-0.020106042753745057,-0.022339673455647024,-0.02074286034898709
2,2006-10-19,136.389999,136.880005,136.229996,136.809998,96.1420882328845,64063200,0.0,1.0,spy,-0.0030699437624436277,0.000511709677826433,-0.004239470860894268,0.001610674327862327,0.001610674327862105,-0.0011256355694122533,-0.005891372061857747,-0.010715581376345429,-0.01501350946587987,-0.0189576671143582,-0.023129645842758118
3,2006-10-20,24.4,24.4,23.8,24.05,19.6927101241179,514900,0.0,1.0,dbc,0.014553014553014387,0.014553014553014387,-0.01039501039501034,-0.013940139401396934,-0.013940139401394047,0.007983367983369405,0.0002910602910617399,-0.006735966735965437,-0.009438669438668112,-0.013771309771308471,-0.015121275121273592
3,2006-10-20,42.05,42.084,41.64,42.0,36.191160459425,105454300,0.0,1.0,qqq,0.0011904761904761862,0.0020000000000000018,-0.008571428571428563,0.0023866348448686736,0.0023866348448686736,0.0007142857142854453,-0.0011428571428574452,-0.009238095238095712,-0.014619047619047976,-0.020799904761905186,-0.02637489426453299
3,2006-10-20,99.48,99.5,99.36,99.44,56.5090794190074,143300,0.0,1.0,agg,0.0004022526146421068,0.0006033789219630492,-0.0008045052292839916,-0.00030159847190147637,-0.0003015984719010323,-0.00024135156878513087,-0.0005631536604991938,0.0010324483775807636,0.0016391602418006634,0.0009336105943777984,-0.00018103897028742821
3,2006-10-20,59.45,59.48,58.65,58.78,58.78,3191600,0.0,1.0,gld,0.011398434841783045,0.011908812521265633,-0.002211636611092249,-0.010604275374516026,-0.010604275374516026,0.0023817625042532597,-0.010309629125552888,-0.015220596574798795,-0.00936543041850979,-0.010922082340932171,-0.011302030168991672
3,2006-10-20,136.839996,136.949997,136.330002,136.839996,96.1631690778883,48094500,0.0,1.0,spy,0.0,0.000803865852202934,-0.003726936677197812,0.00021926760060297923,0.00021926760060342332,-0.0010376936871584475,-0.004771971054427504,-0.009344225158654074,-0.01326729394233539,-0.017746250445666245,-0.02160710450814718
4,2006-10-23,136.559998,137.800003,136.389999,137.470001,96.6058998518275,66219900,0.0,1.0,spy,-0.006619647875029777,0.0024005382818030885,-0.007856274039017452,0.004603953656941329,0.0046039536569408845,-0.004699221614176019,-0.007601665762699827,-0.01175530749674858,-0.015974403026300932,-0.02069689197136193,-0.0242408289406032
4,2006-10-23,23.81,24.15,23.65,24.1,19.7336513094072,645800,0.0,1.0,dbc,-0.012033195020746956,0.0020746887966804906,-0.018672199170124637,0.0020790020790057984,0.0020790020790020236,0.003402489626554539,-0.0034024896265579807,-0.007662517289075521,-0.00973029045643381,-0.014921161825728335,-0.016929460580914935
4,2006-10-23,99.2,99.25,99.11,99.15,56.3442802131394,199000,0.0,1.0,agg,0.0005042864346949116,0.0010085728693898233,-0.00040342914775604033,-0.002916331456154775,-0.0029163314561543308,0.002481089258699276,0.0017650025214321907,0.003496385947218128,0.004217965551492453,0.003994337422256411,0.002897762765262879
4,2006-10-23,41.92,42.58,41.82,42.43,36.5616890069858,126960500,0.0,1.0,qqq,-0.01201979731322178,0.0035352345038888178,-0.014376620315814215,0.010238095238095823,0.010238095238095157,-0.00952156493047418,-0.00919160971011157,-0.015680729043916486,-0.02241338675465565,-0.028536412915390996,-0.03349803671195517
4,2006-10-23,57.88,58.19,57.52,57.76,57.76,3524300,0.0,1.0,gld,0.0020775623268698418,0.007444598337950081,-0.0041551246537395725,-0.01735284110241586,-0.01735284110241586,0.01520083102493075,0.00813711911357351,0.0005655586334256668,0.007487880886426712,0.00621883656509703,0.005730609418282517
5,2006-10-24,24.06,24.31,23.8,24.27,19.8728513393905,226500,0.0,1.0,dbc,-0.008652657601977753,0.0016481252575195615,-0.019365471775854903,0.007053941908710115,0.007053941908713668,-0.004532344458176962,-0.008034610630406225,-0.011948908117015544,-0.014771322620518057,-0.020074165636586927,-0.02282653481664476
5,2006-10-24,57.2,58.26,56.87,58.17,58.17,3558200,0.0,1.0,gld,-0.016675262162626714,0.0015471892728209369,-0.022348289496303964,0.007098337950138589,0.007098337950138589,0.00639504899432719,0.003042805569881457,-0.005271904188871801,-0.00010314595152127737,-1.3752793536103702e-05,-0.0014383129906595515
5,2006-10-24,137.279999,137.929993,137.220001,137.880005,96.8940267527857,53234900,0.0,1.0,spy,-0.004351653454030657,0.00036254712929539856,-0.004786799942457343,0.0029824979778680927,0.0029824979778680927,-0.005526586686735557,-0.008659739314631043,-0.012508503559550577,-0.017341202228706276,-0.02184802270641084,-0.02550674235797512
5,2006-10-24,42.29,42.45,41.92,42.13,36.3031807179899,103541700,0.0,1.0,qqq,0.0037977688108234986,0.007595537621647219,-0.004984571564206064,-0.0070704690077776355,-0.0070704690077774135,-0.0018514122952767442,-0.0009257061476386497,-0.005791597436506701,-0.0138381201044393,-0.01945407073344485,-0.024659004104767512
